状态,广告活动名称,国家/地区,状态,类型,投放,零售商,广告组合名称,广告活动竞价方案,广告活动开始日期,广告活动结束日期,平均预算内活跃时间,广告活动预算金额 (转换),广告活动预算金额,费用类型,展示量,搜索结果首页首位展示量份额,搜索结果首页首位竞价调整,点击量,点击率,总成本 (转换),总成本,CPC (转换),CPC,商品详情页浏览量,品牌旗舰店页面浏览量,购买量,销售额 (转换),销售额,ACOS,ROAS,购买量（品牌新客）,品牌新客购买占比,销售额（品牌新客） (转换),销售额（品牌新客）,品牌新客销售额占比,长期销售 (转换),长期销售,长期 ROAS,用户触达量,家庭触达量,可见展示量,CPM (转换),CPM,每千次可见展示成本 (vCPM) (转换),每千次可见展示成本 (vCPM),前四分之一位数（视频广告）,中点（视频广告）,前四分之三位数（视频广告）,完整观看次数（视频广告）,取消静音次数（视频广告）,可见展示量占比,浏览点击率 (vCTR)
已启用,儿童干发巾,美国,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Amazon,03儿童干发巾,固定竞价,26-04-20,,,US$3.00,US$3.00,CPC,0,0,0,0,0,US$0.00,US$0.00,US$0.00,US$0.00,0,0,0,US$0.00,US$0.00,0,0,0,0,US$0.00,US$0.00,0,US$0.00,US$0.00,0,,,0,US$0.00,US$0.00,US$0.00,US$0.00,0,0,0,0,0,0,0
已启用,成人干发巾手动广告,美国,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Amazon,02成人干发巾,固定竞价,26-04-20,,,US$5.00,US$5.00,CPC,0,0,0,0,0,US$0.00,US$0.00,US$0.00,US$0.00,0,0,0,US$0.00,US$0.00,0,0,0,0,US$0.00,US$0.00,0,US$0.00,US$0.00,0,,,0,US$0.00,US$0.00,US$0.00,US$0.00,0,0,0,0,0,0,0
已启用,浴巾三件套手动广告,美国,CAMPAIGN_OUT_OF_BUDGET,SP,MANUAL,Amazon,01浴巾三件套,固定竞价,26-04-20,,,US$4.00,US$4.00,CPC,0,0,0,0,0,US$0.00,US$0.00,US$0.00,US$0.00,0,0,0,US$0.00,US$0.00,0,0,0,0,US$0.00,US$0.00,0,US$0.00,US$0.00,0,,,0,US$0.00,US$0.00,US$0.00,US$0.00,0,0,0,0,0,0,0
已启用,儿童干发帽-紧密宽泛组B,美国,CAMPAIGN_STATUS_ENABLED,SP,AUTOMATIC,Amazon,03儿童干发巾,固定竞价,26-04-07,,100,US$2.00,US$2.00,CPC,172,0,0,0,0,US$0.00,US$0.00,US$0.00,US$0.00,0,0,0,US$0.00,US$0.00,0,0,0,0,US$0.00,US$0.00,0,US$0.00,US$0.00,0,,,0,US$0.00,US$0.00,US$0.00,US$0.00,0,0,0,0,0,0,0
已启用,成人干发帽-紧密宽泛组B,美国,CAMPAIGN_STATUS_ENABLED,SP,AUTOMATIC,Amazon,02成人干发巾,固定竞价,26-04-07,,100,US$4.00,US$4.00,CPC,1323,<5%,0,4,0.0030,US$2.68,US$2.68,US$0.67,US$0.67,0,0,0,US$0.00,US$0.00,0,0,0,0,US$0.00,US$0.00,0,US$0.00,US$0.00,0,,,0,US$2.03,US$2.03,US$0.00,US$0.00,0,0,0,0,0,0,0.0030
已暂停,三件套-紧密宽泛组B,美国,CAMPAIGN_PAUSED,SP,AUTOMATIC,Amazon,01浴巾三件套,固定竞价,26-04-07,,100,US$3.00,US$3.00,CPC,623,0,0,1,0.0016,US$0.60,US$0.60,US$0.60,US$0.60,0,0,0,US$0.00,US$0.00,0,0,0,0,US$0.00,US$0.00,0,US$0.00,US$0.00,0,,,0,US$0.96,US$0.96,US$0.00,US$0.00,0,0,0,0,0,0,0.0016
已暂停,03关联,美国,CAMPAIGN_PAUSED,SP,AUTOMATIC,Amazon,03儿童干发巾,动态竞价（提高和降低）,26-03-13,,100,US$3.00,US$3.00,CPC,86,0,0,0,0,US$0.00,US$0.00,US$0.00,US$0.00,0,0,0,US$0.00,US$0.00,0,0,0,0,US$0.00,US$0.00,0,US$0.00,US$0.00,0,,,0,US$0.00,US$0.00,US$0.00,US$0.00,0,0,0,0,0,0,0
已暂停,03同类,美国,CAMPAIGN_PAUSED,SP,AUTOMATIC,Amazon,03儿童干发巾,动态竞价（提高和降低）,26-03-13,,100,US$3.00,US$3.00,CPC,76,0,0,0,0,US$0.00,US$0.00,US$0.00,US$0.00,0,0,0,US$0.00,US$0.00,0,0,0,0,US$0.00,US$0.00,0,US$0.00,US$0.00,0,,,0,US$0.00,US$0.00,US$0.00,US$0.00,0,0,0,0,0,0,0
已暂停,03宽泛,美国,CAMPAIGN_PAUSED,SP,AUTOMATIC,Amazon,03儿童干发巾,动态竞价（提高和降低）,26-03-13,,100,US$3.00,US$3.00,CPC,2238,<5%,0,17,0.0076,US$13.83,US$13.83,US$0.81,US$0.81,0,0,0,US$0.00,US$0.00,0,0,0,0,US$0.00,US$0.00,0,US$0.00,US$0.00,0,,,0,US$6.18,US$6.18,US$0.00,US$0.00,0,0,0,0,0,0,0.0076
已启用,03紧密,美国,CAMPAIGN_STATUS_ENABLED,SP,AUTOMATIC,Amazon,03儿童干发巾,动态竞价（提高和降低）,26-03-13,,100,US$2.00,US$2.00,CPC,1415,<5%,0,11,0.0078,US$8.25,US$8.25,US$0.75,US$0.75,0,0,2,US$27.98,US$27.98,0.2949,3.3915151515151516,0,0,US$0.00,US$0.00,0,US$0.00,US$27.98,0,,,0,US$5.83,US$5.83,US$0.00,US$0.00,0,0,0,0,0,0,0.0078
